	Job Title	Company Name	Rating	Experience	Location	Minimum Requirements	Tech Stack
27	Machine Learning Engineer	Eorigami Software	None	4-9 Yrs	Remote	Proven experience as a Machine Learning Engineer or similar role	Artificial Intelligence,Data Science,Predictive Modeling,Computer Science,Data Modeling,Machine Learning,Predictive Analytics,Python
28	Machine Learning Engineer	Booking Holdings	4.7	1-4 Yrs	Bengaluru	. 4+ years of relevant work experience (or equivalent), involved with the application o...	Computer vision,Coding,Artificial Intelligence,Machine learning,Perl,Forecasting,Analytics,Python
29	Machine Learning Engineer	Coders Brain Pvt Ltd	3.9	4-7 Yrs	Bengaluru	  Skill -  Machine Learning , Artificial Intelligence, Python       Job Description    ...	Networking,Cloud Services,Artificial Intelligence,Machine learning,Manager Technology,Business solutions,AWS,Python
30	MACHINE LEARNING ENGINEER - C++ BACKGROUND	Athena Consultancy Services	None	2-4 Yrs	Hyderabad/Secunderabad	Experience participating in GitHub communitiesRequired skills . We are looking for some...	machine learning,deep learning,c++,tensorflow,github,software development,c,pytorch
31	Machine Learning Engineer	AppIncubator	4.5	4-5 Yrs	Hyderabad/Secunderabad	. Ability to select hardware to run an ML model with the required latency	SAN,Usage,Linux,SOC,Artificial Intelligence,Machine learning,SMS,Data quality
32	AI/Machine Learning Engineer	Genesys	4.2	3-8 Yrs	Hyderabad/Secunderabad	Desirable skills . Good understanding of Cloud fundamentals and services, preferably AW...	Automation,Coding,Django,Machine learning,Cloud,Back office,Data collection,Genetics
33	Machine Learning Engineer	Tekolutions Ai	None	2-5 Yrs	Mumbai	Specific experience in AI areas like Statistical Proven experience as a Machine Learnin...	software architecture,Operations research,Data modeling,Analytical,Artificial Intelligence,Consulting,Machine learning,Data structures
34	Machine Learning Engineer	Sndk Corp	3.2	2-5 Yrs	Ahmedabad	The ideal candidate should have a strong background in computer science, mathematics, a...	Computer science,Analytical skills,Cloud computing,C++,Artificial Intelligence,Machine learning,Programming,power bi
35	Machine Learning Engineers	Solutioninn, Us	None	3-8 Yrs	Jalandhar, Ludhiana, Patiala, Amritsar	Required Qualifications . BS in computer Science . Job Experience . At least 3 years of...	Computer science,software architecture,data science,Data modeling,Artificial Intelligence,Machine learning,Genetics,Data structures
36	Machine Learning Engineers	Inavan	4.0	1-4 Yrs	Kochi/Cochin	Experience in Image Processing Computer Vision projectsThorough experience in Deep Lear...	Computer vision,deep learning,Web application development,Image processing,Neural networks,Artificial Intelligence,Machine learning,Signal processing
37	Machine Learning Engineer	TAC Security	3.3	2-7 Yrs	Mumbai, Pune	 Ensures software applications are built with quality while conforming to corporate and...	SAN,deep learning,Artificial Intelligence,MySQL,Machine learning,Data analytics,data visualization,Vulnerability management
38	AI and Machine Learning Engineer	ideaTree	4.8	2-7 Yrs	New Delhi	  Study and transform data science prototypes   Design machine learning systems   Resea...	Cold calling,data science,Data modeling,Analytical,Artificial Intelligence,Machine learning,Service industry,Data structures
39	Machine Learning Automation Engineer	PubMatic	4.2	3-6 Yrs	Pune, Maharashtra	 Job DescriptionPubMatic is seeking automation engineers with exceptional analytical an...	Python,Algorithms,Data Structures,Machine Learning,Data,Automation,Machine
40	AI / Machine Learning Engineer	Cks Global Ventures	None	2-6 Yrs	Pune	The ideal candidate will be able to apply predictive models and must possess strong sof...	Tensorflow,Algorithm Development,Image Processing,Image Segmentation,Machine Learning Algorithms,Computer Vision,Strong Analytical Skills,Deep Learning
41	Machine Learning AI Platform Engineer	Accenture	4.0	12-15 Yrs	Bengaluru	Professional Attributes : 1 Able to communicate effectively 2 Solid Presentation and An...	MySQL,Machine learning,Oracle,SQL,Python,advanced analytics,Neural networks,Hypothesis Testing
42	Machine Learning AI Platform Engineer	Accenture	4.0	18-20 Yrs	Bengaluru	Job Requirements : Key Responsibilities : 1 Have experience in handling Client facing e...	Neural networks,Machine learning,Natural language processing,RFP,Python,CSS,Business analysis,PL-SQL
43	Machine Learning Engineer	Data Collection Infotech	4.2	2-5 Yrs	Bengaluru	The candidate should be responsible for all kinds of image processing using deep learni...	Computer vision,deep learning,Image processing,Machine learning,Algorithm development,Data processing,Data analytics,Mathematics
44	Staff Machine Learning Engineer, Revenue Automation and Data Services	Stripe	3.7	5-9 Yrs	Bengaluru	   We re looking for a seasoned machine learning engineer to join our new ML accelerato...	Computer science,Automation,data services,data science,Finance,Reconciliation,Billing,Machine learning
45	Principal Engineer - Artificial Intelligence / Machine Learning	ION	3.7	2-9 Yrs	Noida	Experience with vector databases and LLM design patterns . Demonstrable work in AI / ML...	deep learning,Artificial Intelligence,Finance,Consulting,Machine learning,Cloud,Hypothesis Testing,professional services
46	Machine Learning Engineer	Viga Entertainment Technology	4.5	0-1 Yrs	Bengaluru	        Prototype, develop and experiment with computer vision techniques and explore a...	Computer vision,Prototype,Neural networks,Machine learning,Programming,Python,Machine,Computer
47	SAS Visual Data Mining & Machine Learning Technology Platform Engineer	Accenture	4.0	8-10 Yrs	Bengaluru	Technical Experience : 1 Knowledge of Cloud Analytic Service able to write CAS codes fr...	SAS,Data mining,Machine Learning,SQL,Python,Natural Language Processing,SVM,Random Forest
48	Principle Engineer in Machine Learning	Cotocus Com	None	8-13 Yrs	Bengaluru	   Preferably Masters in Computer Science / Electrical Engineering with 8+ years of exp...	Electrical engineering,Training,Computer vision,Redhat,Publishing,Neural networks,Artificial Intelligence,Machine learning
49	Battery Energy Storage System Machine Learning Engineer	Siemens	4.2	2-3 Yrs	Gurugram	Hands-on experience and in-depth knowledge ofprobabilistic programming, Bayesian learni...	Data analysis,Analytical,Machine learning,thermal,Signal processing,Forecasting,Monitoring,Analytics
50	Machine Learning Engineer I	Simplicity First	3.4	0-2 Yrs	Pune	M S or Ph D Degree would be added advantageMINIMUM QUALIFICATIONS AND REQUIREMENTS: . ....	Cloud computing,Business analysis,Coding,Machine learning,Business solutions,Principal,Analytics,SQL
51	Machine Learning Engineer- II	General Mills	4.2	9-11 Yrs	Mumbai	Minimum qualification- Bachelors degree (full time) . Knowledge sharing with the broade...	Supply chain,Automation,Coding,GCP,Machine learning,Monitoring,Analytics,SQL
52	AWS Machine Learning Engineer	Highrise solutions	None	0-7 Yrs	Pune	Develop tools to help detect shifts in data / features used by ML models to identify is...	US GAAP,Machine learning,CMS,HTML,ITES,Vice President IT,SSIS,Solution delivery
53	Machine Learning Engineer	Advanced Micro Devices, Inc	3.9	7-10 Yrs	Hyderabad/Secunderabad	Bachelor / master s in computer science, Computer Engineering, Data Science / Analytics...	Graphics,Analytical skills,C++,Networking,Architecture,Machine learning,Programming,high performance computing
54	MACHINE LEARNING ENGINEER	Triveni Global Consulting	None	1-3 Yrs	Ahmedabad, Surat	Experience Required: 1-3 years . Job Locations: Surat Ahmedabad . Qualification: MSc.IT...	Training,software architecture,Data modeling,Analytical,Machine learning,Data structures,Deployment,Research
55	Research Scientist Engineer  Machine Learning / NLP	Career Maker	None	4-8 Yrs	Bengaluru	- Mentor junior associates as required. .  Experience working with machine learning too...	Machine Learning,Tensorflow,Speech Recognition,deep learning,C++,NLP,PyTorch,DNN
56	Machine Learning Engineer	Mindpeers	None	2-5 Yrs	Kol, Mumbai, Delhi, Bengaluru, Chennai	Excellent coding, documentation, version control, and testing skills in Python . Profic...	Version control,NoSQL,Coding,Underwriting,Machine learning,Natural language processing,data visualization,SQL
57	Machine Learning Engineer	Epam Systems	3.8	6-8 Yrs	Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Bengaluru, Karnataka	Focused on streamlining the process of taking machine learning models to production, an...	MLOps,Kubeflow,Jenkins,Vertex,Aws Sagemaker,Machine Learning,AWS,Machine
58	Machine Learning Engineer	Aptos	3.4	1-6 Yrs	Bengaluru	You have a Bachelors / Master s degree in computer science, engineering, or related STE...	Computer science,Quality orientation,C++,Product promotion,Analytical,Machine learning,Agile,Distribution system
59	Machine Learning Engineer	Ravionics	None	2-5 Yrs	Bengaluru	You have a Bachelors / Master s degree in computer science, engineering, or related STE...	Quality orientation,Software testing,C++,Analytical,Machine learning,Agile,Distribution system,Forecasting
60	Machine Learning Engineer	Levi Strauss Co.	4.4	3-7 Yrs	Bengaluru	. You will have an opportunity to work on both batch and real time modelsContribute to ...	Root cause analysis,C++,Prototype,GIT,Machine learning,Manager Technology,model development,Catering
61	Machine Learning Engineer - 2/3	Groww	3.9	7-11 Yrs	Bengaluru	  Responsible for solving business problems using data science and machine learning sol...	data science,Machine learning,Consulting,Deployment,Mentor,Research,Financial services,Machine
62	Machine Learning Engineer	Open Insights	4.2	2-6 Yrs	Kol, Mumbai, Delhi, Bengaluru, Chennai	Experience in Apache Spark and Databricks . Experience with MLOps tools that support mo...	Data modeling,Coding,Machine learning,Data structures,Open source,Analytics,Monitoring,SQL
63	Machine Learning Engineer	Ideaboard	4.2	2-5 Yrs	Bengaluru	Experience in designing and implementing various machine learning models .	Analytical,Machine learning,Machine,Analytics
64	Machine Learning Engineer	Corporate Steps	4.5	2-7 Yrs	Kol, Mumbai, Delhi, Bengaluru, Chennai	. experience as a machine learning engineer . Advanced proficiency with Python, Java, a...	software architecture,Statistical analysis,data science,Data modeling,Time management,Analytical,Machine learning,HR Professional
65	Machine Learning Engineer	Enterpret	None	2-5 Yrs	Bengaluru	Constructing and scaling intricate ML Inferencing Pipelines to cater to both real-time ...	Social media,Machine learning,Venture capital,Equity,Continuous improvement,Open source,Distribution system,System implementation
66	Machine learning Engineer	Acme Services	4.7	2-6 Yrs	Bengaluru	  2+ years of experience in Kubernetes    2+ years of professional software development...	Administration,github,GIT,Machine learning,Cloud,Programming,Deployment,Python
67	Machine Learning Engineer	Pype	None	2-5 Yrs	Bengaluru	Machine Learning Engineer (Data Science Engineer) We are looking for Machine Learning E...	data science,Machine learning,Data,Machine,Science
68	Machine Learning Engineer	Symbl.ai	None	2-5 Yrs	Pune, Bengaluru	Proficiency in Python and related ML frameworks such as PyTorch, Tensorflow for model p...	Training,deep learning,github,Focus,Machine learning,Manager Technology,Wellness,Transformers
69	Machine Learning Engineer II	Glance	3.5	2-6 Yrs	Bengaluru	Experience managing and deploying ML models in real world environments . Bachelors degr...	Data analysis,Linux,Neural networks,Analytical,Machine learning,Data structures,Open source,Gaming
70	Machine Learning Engineer	Diverse Lynx	3.7	2-6 Yrs	Bengaluru	  A Machine Learning Engineer is responsible for designing, building, and maintaining s...	Automation testing,Selenium,Client interfacing,client,automation,integration,software testing,machine learning
71	Machine Learning Engineer	Diverse Lynx	3.7	2-6 Yrs	Bengaluru	  A Machine Learning Engineer is responsible for designing, building, and maintaining s...	automation,Machine learning,tester,software testing,machine
72	Machine Learning Engineer	Zuma	None	2-3 Yrs	Bengaluru	3 years of experience . Strong engineering skills: experience in OOP, Design Patterns, ...	Solution architecture,Training,SAN,deep learning,data science,GCP,Machine learning,Data collection
73	Machine Learning Engineer	Cotocus Com	None	1-4 Yrs	Bengaluru	  Autodesk is seeking a Machine Learning Engineer/Data Scientist to join our Sales Data...	Training,Redhat,Sales,data science,Chef,Machine learning,Autodesk,science
74	Machine Learning Engineer	Ageye Technologies	4.8	2-7 Yrs	Bengaluru	     Key Responsibilities:     Working with the data science team to research, develop,...	Cloud computing,C++,Machine learning,Agile,Data structures,Application development,Life sciences,Scrum
75	Machine Learning Engineer	Chingari	3.4	3-6 Yrs	Bengaluru	Bachelor s degree in computer science or a related technical discipline, with at least ...	Computer science,deep learning,C,Coding,Machine learning,Programming,Data structures,Mentor
76	Machine Learning Engineer	Habilite Clinics	None	2-5 Yrs	Bengaluru	 You will develop world-class machine learning models and algorithms, productize code, ...	Machine learning,machine
77	Machine Learning engineer	Euprime Consulting	None	2-7 Yrs	Bengaluru	Requirements: . At least 2 years of prior Machine Learning Algorithms experienceExperie...	R Programming,Machine learning,Cloud,Management,AWS,Python,machine,r program
78	Machine Learning Engineer	Avesha	None	3-8 Yrs	Bengaluru	Experience with distributed Machine Learning frameworks and development and deployment ...	C++,Prototype,Networking,GCP,Machine learning,Software development life cycle,Design development,Performance analysis
79	Machine Learning/AI Engineer	Imagine.io	None	2-5 Yrs	New Delhi	The ideal candidate will possess a strong passion for leveraging cutting-edge technolog...	Computer vision,C++,3d rendering,Image processing,Artificial Intelligence,Machine learning,Computer graphics,MATLAB
80	Machine Learning ( ML ) Engineer	Online Manufacturing	None	4-9 Yrs	Mumbai	  Education Background  - BE in Computer Science    We are looking for a Machine Learni...	Computer science,Training,Statistical analysis,data science,Artificial Intelligence,Machine learning,Programming,Research
81	Machine Learning Engineer	Advanced Structures India	2.7	4-9 Yrs	Bengaluru	Good understanding of various ML algorithms, both for image classification as well as f...	Training,Basic,Usage,Machine learning,Workflow,Business case,Python,Case
82	Machine learning and AI Engineer	Megdap Innovation Labs	None	2-5 Yrs	Pune	 Machine learning and AI Engineer Company Profile  Megdap is a leader in langauge techn...	Computer science,C++,GIT,Linux,Image processing,Machine learning,Perl,Open source
83	Machine Learning Engineer	Multi Recruit	None	5-10 Yrs	Bengaluru	Minimum 1 year of experience in Unsupervised Model Minimum bachelors degree in computer...	Data Scaling,MySQL/NoSQL,Unsupervised Model,Machine Learning,Python,NoSQL,Data,Scaling
84	Data Engineer - Machine Learning/Data Science	Globalfoundries	3.7	1-5 Yrs	Bengaluru	  The Data Science team in GLOBALFOUNDRIES has a primary mission of delivering data eng...	Automation,Semiconductor,Project management,Risk assessment,Machine learning,Data analytics,JSON,SQL
85	Machine Learning Engineer	Nonstop Corporation	4.3	2-3 Yrs	Nagpur	  A Machine Learning Engineer is responsible for designing, building, and maintaining s...	Machine learning,Machine
86	Machine Learning Engineer	Codinix	None	3-4 Yrs	Noida	The ideal candidate should have a solid background in machine learning algorithms, data...	Computer science,deep learning,Data analysis,Machine learning,Data collection,Programming,Research,Python
87	Machine Learning Engineer	Viitorcloud Technologies	4.3	2-3 Yrs	Ahmedabad	  Develop deep learning models for various projects   Collaborate with data scientists ...	IT services,Analytical,Postgresql,Web development,MySQL,Machine learning,Customer support,Information technology
88	Machine Learning Engineer	Zessta Software Services	4.2	3-10 Yrs	Hyderabad/Secunderabad	  Designing and developing machine learning and deep learning systems according to the ...	Usage,Machine learning,Software services,Software,Machine
89	Machine Learning Engineer	ConnectWise 	4.0	1-6 Yrs	Mumbai, Pune	 The  Machine Learning Engineer  will have the primary day-to-day responsibility of dev...	Training,Analytical,Focus,devops,Machine learning,Manager Technology,Statistics,Monitoring
90	Python / Machine Learning Engineer	Luxoft	4.0	4-9 Yrs	Chennai	Skills . Must have  English: C2 Proficient .  4+ years of experience in python developm...	deep learning,Automation testing,Multithreading,Architecture,Django,Machine learning,Integration testing,Automation tools
91	Machine Learning Engineer	Attinad Software Pvt. Ltd	3.4	4-9 Yrs	Trivandrum/Thiruvananthapuram	Every project is different, from reinforcement learning to computer vision, and you ll ...	Computer vision,spark,Machine learning,Deployment,Product design,Life sciences,AWS,Team building
92	Machine Learning Engineer	Predire Analyzedata	None	2-5 Yrs	Jalandhar, Ludhiana, Patiala, Amritsar	Exposure to Machine Learning algorithms, Tensor Flow, Keras etc is preferredPreferred q...	Unix,Vista,Performance tuning,Linux,Staffing,Analytical,Shell scripting,Consulting
93	Machine Learning Engineer	Dental Dost	3.6	1-3 Yrs	Pune	Preferred Qualifications  1-3 years of demonstrated experience as machine learning engi...	Computer vision,Version control,GIT,Opencv,Agile development,Machine learning,Programming,Deployment
94	Machine Learning Engineer	Workday Inc	4.5	7-9 Yrs	Pune	Experience in the Databricks, AWS, (RedShift, Sagemaker) H2O, , MySQL, We are looking f...	Computer science,Text mining,advanced analytics,data science,Machine learning,MySQL,Flex,Natural language processing
95	Machine Learning Engineer	Klevu Oy	None	4-9 Yrs	Ahmedabad	  Build and maintain distributed experimentation infrastructure for AI team   Help the ...	Backend,neo4j,Machine learning,Cloud,Manager Technology,Programming,Infrastructure,Deployment
96	Machine Learning Engineer, Image Processing	Hubino Technologies	4.4	2-5 Yrs	Chennai	Should have worked across teams and integrated ML code on different platformsBachelors ...	Computer science,Business process,Computer vision,deep learning,C++,Image processing,X86,Machine learning
97	Machine Learning Engineer	Hubino Technologies	4.4	2-5 Yrs	Chennai	Role: Machine Learning Engineer, Image Processing Understanding business challenges, go...	Computer vision,algorithms,Image processing,technical,functions,quality operations,quality,Business process
98	Machine Learning Engineer	Sisoft Technologies	4.8	4-6 Yrs	Ghaziabad	   The ML Engineer is a core member of the agile teams facilitating trained ML models t...	Software Engineering,Machine Learning,Python,machine,software,engineering
99	Machine Learning Engineer 1	Viavi Solutions	4.3	3-7 Yrs	Chennai	    In new product design roles: develops and programs integrated software algorithms t...	Diagnostics,Machine learning,New product design,New product,Machine,Product design,Design
100	MACHINE LEARNING ENGINEER	AI Touch	3.0	5-10 Yrs	Gurgaon	Ability to select hardware to run an ML model with the required latency	Training,deep learning,Usage,Linux,Opencv,Web development,Machine learning,Data quality
101	Machine Learning Engineer	Hackveda	2.9	2-5 Yrs	Noida	 Job Description    Machine Learning Engineer for workforce development and artificial ...	Application design,deep learning,Web application,Machine learning,Programming,Data structures,Python,data
102	Machine Learning Engineer	Codeglo Technologies	4.5	2-4 Yrs	Chennai	Bachelors or Masters degree in Computer Science, Engineering, or a related field. . Key...	SAN,President,Front end,French,data science,Analytical,Machine learning,Vice President
103	Machine Learning Engineer	Jmoon Technologies	None	2-5 Yrs	New Delhi	Experience of training and deploying models for SBCs from available sensor and image da...	Computer science,Project development,C++,Machine learning,Javascript,Deployment,Internship,Robotics
104	Machine Learning Engineer	Aera Software Technology	4.1	2-5 Yrs	Pune	Good to have experience in technologies like Kafka, Redis & Kubernetes . Good to have e...	SAN,Version control,GIT,data science,Machine learning,Manager Technology,Distribution system,Monitoring
105	Machine Learning Engineer	Viser Solutions	None	2-7 Yrs	Mumbai	Minimum 3+ Experience in machine learning techniques for addressing various problems (e...	NoSQL,Neural networks,Analytical,Machine learning,Javascript,Predictive modeling,Forecasting,SQL
106	Machine Learning Engineer	Careervira	2.5	3-5 Yrs	Gurugram	Minimum 5 years total experience working in the industry . Minimum 3-5 years of experie...	Health insurance,Neural networks,Machine learning,Packaging,Equity,Data structures,Natural language processing,performance measurement
107	Machine Learning Engineer	Optisol Business Solutions	4.1	1-5 Yrs	Madurai, Chennai, Coimbatore	   As a Machine learning engineer, you will be expected to build and deploy data analys...	Data analysis,GIT,NoSQL,PDF,Machine learning,Agile,Application development,Internship
108	Machine Learning Engineer	Wadhwani Ai	2.8	2-5 Yrs	Mumbai	   Setup and structure code bases that support an interactive ML experimentation proces...	continuous integration,Solution design,Service level,Debugging,Machine learning,Deployment,SLAS,Monitoring
109	Machine Learning Engineer	Pattern Technologies	4.8	4-8 Yrs	Pune	Best-in-class skills in Python . - Multiple years of experience managing machine learni...	Version control,Analytical,Machine learning,Infrastructure,E-commerce,Silicon,Management,AWS
110	Deep Learning Machine Learning Engineer	Samatrix Consulting	2.0	2-4 Yrs	Gurgaon	Exposure to Deep Learning is preferred but not essential. . Experience 2-4 years of rel...	deep learning,Machine learning,Programming,Application development,Python,machine,program,development
111	Machine Learning Engineer	Workfusion	1.9	3-5 Yrs	Hyderabad/Secunderabad	. Proficient DevOps Skills and mind-setQualifications / Experience  . . 3-5 years of pr...	Maven,Automation,GIT,Linux,Machine learning,Javascript,Agile,HTML
112	Machine Learning Engineer For US company (WFH)	Premier Consultants	None	2-5 Yrs	Remote	Designation: Machine Learning EngineerRoles and Responsibilities: Develop, grow, and su...	azure,Data Engineering,Azure Machine Learning,Machine Learning,Microsoft Azure,Data,Company,Machine
113	Machine Learning Research Engineer, Core ML	Skit.ai	3.3	0-2 Yrs	Bengaluru	Good programming skills and ability to work with programs at all levels of a finished M...	software architecture,GIT,Machine learning,Programming,Research,Open source,Monitoring,Recruitment
114	DevOps & Cloud Engineer For Machine Learning Platform	Siemens	4.2	3-5 Yrs	Bengaluru	Required . Identity and access management (e.g., Role Based Access Control) Required . ...	Computer science,Service management,Automation,MS SQL,Access management,MySQL,Agile,Scrum
115	Machine Learning Data Engineer	Pattern Technologies	4.8	4-8 Yrs	Pune	- Mastery of SQL in areas relevant to data pipelines . - Curious and capable of underst...	Usage,Version control,Analytical,Machine learning,Data processing,E-commerce,Silicon,AWS
116	MACHINE LEARNING / DATA ENGINEER	Aurawoo	None	5-10 Yrs	Bhopal	Experience building end-to-end systems as a Platform Engineer, ML Ops Engineer, or Data...	jQuery,MySQL,Javascript,PHP,JSON,Open source,Information technology,SQL
117	Machine Learning Validation Engineer	Advanced Micro Devices, Inc	3.9	3-5 Yrs	Bengaluru	                       THE ROLE:            You will contribute to the core team that v...	Graphics,C++,Automation,Linux,SOC,Data structures,Test cases,Python
118	Principal Machine Learning Ops Engineer	Tola Capital	None	5-10 Yrs	Bengaluru	Experience building end-to-end systems as a Platform Engineer, ML DevOps Engineer, or o...	Computer science,Career development,Cloud computing,Automation,data security,Machine learning,Healthcare,Open source
